dir,test,first_result,frequency,flaky,sample_run
ch.qos.logback.core.ContextBaseTest,contextThreadpoolIsDaemonized,pass,100,FALSE,163
org.springframework.boot.web.embedded.jetty.JettyServletWebServerFactoryTests,noCompressionForSmallResponse,pass,100,FALSE,163
alluxio.client.cli.fs.command.CopyFromLocalCommandIntegrationTest,copyFromLocalDir,pass,100,FALSE,163
org.springframework.boot.autoconfigure.freemarker.FreeMarkerAutoConfigurationTests,emptyTemplateLocation{CapturedOutput},pass,100,FALSE,163
org.apache.hadoop.log.TestLogThrottlingHelper,testNamedLoggersWithoutSpecifiedPrimary,pass,100,TRUE,114
org.springframework.boot.web.servlet.FilterRegistrationBeanTests,withSpecificDispatcherTypes,pass,100,FALSE,163
org.springframework.boot.context.properties.bind.JavaBeanBinderTests,bindToClassShouldCacheWithGenerics,pass,100,FALSE,163
org.apache.hadoop.security.token.delegation.web.TestDelegationTokenAuthenticationHandlerWithMocks,testAuthenticate,pass,100,TRUE,151
org.springframework.boot.test.system.OutputCaptureRuleTests,captureShouldBeAssertable,pass,100,FALSE,163
org.assertj.core.api.map.MapAssert_extractingByKey_with_Key_Test,should_keep_existing_description_if_set_when_extracting_value_object,pass,100,FALSE,163
org.assertj.core.internal.longarrays.LongArrays_assertContainsExactly_Test,should_fail_if_actual_is_null_whatever_custom_comparison_strategy_is,pass,100,FALSE,163
org.springframework.boot.logging.LoggingSystemPropertiesTests,fileLogPatternIsSet,pass,100,FALSE,163
io.dropwizard.jdbi3.JdbiTest,canReturnOptional,pass,100,FALSE,163
org.apache.jackrabbit.oak.security.user.GroupImplTest,testRemoveNotMember,pass,100,FALSE,163
org.apache.jackrabbit.oak.spi.security.authorization.cug.impl.CugImportBesteffortTest,testCugInvalidPrincipals,pass,100,FALSE,163
io.dropwizard.configuration.JsonConfigurationFactoryTest,overrideMapProperty,pass,100,FALSE,163
org.apache.oozie.fluentjob.api.action.TestMapReduceActionBuilder,testRetryAttributesAddedTwiceThrows,pass,100,FALSE,163
org.springframework.boot.actuate.endpoint.web.servlet.MvcWebEndpointIntegrationTests,principalIsNullWhenRequestHasNoPrincipal,pass,100,FALSE,163
org.springframework.boot.web.embedded.undertow.UndertowServletWebServerFactoryTests,sslDisabled,pass,100,FALSE,163
org.apache.jackrabbit.oak.spi.security.ConfigurationParametersTest,testContains,pass,100,FALSE,163
org.apache.jackrabbit.oak.jcr.security.authorization.SessionMoveReferenceableTest,testMoveAndAddPropertyAtSource2,pass,100,FALSE,163
org.assertj.core.api.charsequence.CharSequenceAssert_hasSizeLessThanOrEqualTo_Test,should_return_this,pass,100,FALSE,163
org.apache.jackrabbit.oak.security.user.query.ResultRowToAuthorizableTest,testRowToUserSubTree,pass,100,TRUE,109
org.apache.hc.core5.http2.impl.io.TestFrameInOutBuffers,testReadEmptyFrame,pass,100,TRUE,126
org.apache.jackrabbit.oak.security.user.UserImporterWorkspaceTest,testHandleDisabledMvPropertyDef,pass,100,TRUE,131
org.springframework.boot.autoconfigure.thymeleaf.ThymeleafServletAutoConfigurationTests,useJava8TimeDialect,pass,100,TRUE,77
org.apache.hadoop.fs.TestLocalDirAllocator,testGetLocalPathToRead[0],pass,100,FALSE,163
org.apache.hc.core5.http.impl.nio.TestLengthDelimitedEncoder,testInvalidConstructor,pass,100,FALSE,163
org.springframework.boot.test.web.SpringBootTestRandomPortEnvironmentPostProcessorTests,postProcessWhenManagementServerPortPlaceholderAbsentShouldFail,pass,100,FALSE,163
com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocTagInfoTest,testTypeValueOf,pass,100,FALSE,163
org.apache.jackrabbit.oak.plugins.document.bundlor.IncludeTest,exactName,pass,100,TRUE,161
